date, pm25, pm10
1/1/2025,172,77
1/2/2025,176,74
1/3/2025,177,73
1/4/2025,177,86
1/5/2025,187,77
1/6/2025,189,64
1/7/2025,158,65
1/8/2025,163,64
1/9/2025,168,76
1/10/2025,163,81
1/11/2025,157,80
1/12/2025,168,81
1/13/2025,167,83
1/14/2025,174,75
1/15/2025,161,77
1/16/2025,169,83
1/17/2025,168,82
1/18/2025,179,89
1/19/2025,175,111
1/20/2025,183,91
1/21/2025,172,96
1/22/2025,198,94
1/23/2025,186,84
1/24/2025,170,72
1/25/2025,154,70
1/26/2025,170,80
1/27/2025,176, 
1/28/2025,167, 
1/29/2025,157, 
1/30/2025,162, 
1/31/2025,183, 
2/1/2025,180, 
2/2/2025,174, 
2/3/2025,192, 
2/4/2025,170, 
2/5/2025,161,75
2/6/2025,173,77
2/7/2025,169,76
2/8/2025,163,83
2/9/2025,175,107
2/10/2025,175,91
2/11/2025,165,90
2/12/2025,170,87
2/13/2025,168,95
2/14/2025,184,90
2/15/2025,184,93
2/16/2025,178,88
2/17/2025,166,81
2/18/2025,179, 
2/19/2025,169, 
2/20/2025,188, 
2/21/2025,177, 
2/22/2025,166, 
2/23/2025,151, 
2/24/2025,163, 
2/25/2025,164, 
2/26/2025,176, 
2/27/2025,172, 
2/28/2025,185, 
3/1/2025,131, 
3/2/2025,154, 
3/3/2025,147, 
3/4/2025,152, 
10/1/2024,94, 
10/2/2024,98, 
10/3/2024,93, 
10/4/2024,109, 
10/5/2024,106, 
10/6/2024,90, 
10/7/2024,106, 
10/8/2024,93, 
10/9/2024,107, 
10/10/2024,130, 
10/11/2024,116, 
10/12/2024,114, 
10/13/2024,105, 
10/14/2024,104, 
10/15/2024,120, 
10/16/2024,133, 
10/17/2024,152, 
10/18/2024,166, 
10/19/2024,134, 
10/20/2024,150, 
10/21/2024,137, 
10/22/2024,126, 
10/23/2024,119, 
10/24/2024,119, 
10/25/2024,119, 
10/26/2024,99, 
10/27/2024,123, 
11/5/2024,142, 
11/6/2024,120, 
11/7/2024,118, 
11/8/2024,108, 
11/9/2024,138, 
11/10/2024,143, 
11/11/2024,132, 
11/12/2024,143, 
11/13/2024,153, 
11/14/2024,160, 
11/15/2024,164, 
11/16/2024,163, 
11/17/2024,154, 
11/18/2024,137, 
11/19/2024,129, 
11/20/2024,130, 
11/21/2024,140, 
11/22/2024,147, 
11/23/2024,132, 
11/24/2024,136, 
11/25/2024,137, 
11/26/2024,162, 
11/27/2024,165, 
11/28/2024,152, 
11/29/2024,147, 
11/30/2024,144, 
12/1/2024,159, 
12/2/2024,162, 
12/3/2024,149, 
12/4/2024,154, 
12/5/2024,160, 
12/6/2024,171, 
12/7/2024,177, 
12/8/2024,177, 
12/9/2024,183, 
12/10/2024,161, 
12/11/2024,172, 
12/12/2024,168, 
12/13/2024,164, 
12/14/2024,163, 
12/15/2024,181, 
12/16/2024,180, 
12/17/2024,178,86
12/18/2024,170,72
12/19/2024,158,82
12/20/2024,166,75
12/21/2024,159,75
12/22/2024,172,81
12/23/2024,167,85
12/24/2024,169,83
12/25/2024,183,78
12/26/2024,176,84
12/27/2024,181,99
12/28/2024,219,91
12/29/2024,191, 
7/5/2024,77, 
7/6/2024,69, 
7/8/2024,134, 
7/9/2024,102, 
7/10/2024,95, 
7/11/2024,106, 
7/12/2024,79, 
7/13/2024,98, 
7/14/2024,93, 
7/15/2024,100, 
7/16/2024,75, 
7/17/2024,94, 
7/18/2024,82, 
7/19/2024,64, 
7/20/2024,78, 
7/21/2024,81, 
7/22/2024,89, 
7/23/2024,77, 
7/24/2024,72, 
7/25/2024,89, 
7/26/2024,89, 
7/27/2024,79, 
7/28/2024,78, 
7/29/2024,94, 
7/30/2024,68, 
8/4/2024,42, 
